,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
160,6338,Collège Pierre Mendès-France,Paris 20,Public,78.88333333333334,8.700000000000001,86.33333333333333
161,6392,Collège Marx Dormoy,Paris 18,Public,80.71666666666667,9,84
162,6436,Collège Jean Perrin,Paris 20,Public,80.05,8.9,84
163,6471,Collège Heikhal Menahem Sinaï,Paris 20,Privé,90.82499999999999,9.9,76
164,6486,Collège Gérard Philipe,Paris 18,Public,80.60000000000001,8.966666666666667,82.66666666666667
165,6531,Collège Aimé Césaire,Paris 18,Public,69.91666666666667,9.833333333333334,83
166,6607,Collège Catherine Labouré,Paris 14,Privé,89.18,10.533333333333333,71.33333333333333
167,6609,Collège Daniel Mayer,Paris 18,Public,77.95,7.466666666666666,86
168,6646,Collège François Villon,Paris 14,Public,72.7,9.1,81.33333333333333
169,6784,Collège Ozar Hatorah,Paris 11,Privé,87.55000000000001,9.266666666666667,65
